Initial Unemployment Insurance Claims by Occupation,,,,,
SOC Code,Occupation Title,Week ending,,,
514121,"Welders, Cutters, Solderers, and Brazers",24,169,154,61
119021,Construction Managers,30,41,90,60
359011,Dining Room and Cafeteria Attendants and Bartender Helpers,169,167,113,57
132011,Accountants and Auditors,34,66,82,56
151151,Computer User Support Specialists,12,32,34,55
537064,"Packers and Packagers, Hand",22,46,66,53
359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",191,132,118,52
392021,Nonfarm Animal Caretakers,21,61,98,52
435071,"Shipping, Receiving, and Traffic Clerks",21,71,69,52
271026,Merchandise Displayers and Window Trimmers,10,31,59,50
439199,"Office and Administrative Support Workers, All Other",53,88,84,46
493021,Automotive Body and Related Repairers,14,32,59,46
533041,Taxi Drivers and Chauffeurs ,29,53,122,46
252011,"Preschool Teachers, Except Special Education",64,117,119,44
399031,Fitness Trainers and Aerobics Instructors,97,90,105,44
514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",15,69,36,43
274021,Photographers,21,44,91,42
292061,Licensed Practical and Licensed Vocational Nurses,14,39,45,42
312021,Physical Therapist Assistants,4,45,64,42
131199,"Business Operations Specialists, All Other ",14,37,58,41
173029,"Engineering Technicians, Except Drafters, All Other ",15,48,54,41
419041,Telemarketers,27,49,54,41
519111,Packaging and Filling Machine Operators and Tenders,18,40,48,41
131071,Human Resources Specialists,22,37,48,40
436013,Medical Secretaries,21,59,81,40
533022,"Bus Drivers, School or Special Client ",138,108,68,40
533033,Light Truck or Delivery Services Drivers,17,59,47,39
291123,Physical Therapists,8,37,59,38
472152,"Plumbers, Pipefitters, and Steamfitters",17,35,56,38
499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",19,43,39,38
537051,Industrial Truck and Tractor Operators,17,35,33,38
395094,Skincare Specialists,65,95,103,36
473013,Helpers--Electricians,16,62,48,36
537061,Cleaners of Vehicles and Equipment,28,58,68,36
271024,Graphic Designers,18,47,47,35
112021,Marketing Managers,35,56,64,34
353041,"Food Servers, Nonrestaurant",100,76,67,34
472141,"Painters, Construction and Maintenance",8,42,68,34
513023,Slaughterers and Meat Packers,5,7,14,34
412021,Counter and Rental Clerks,21,38,37,33
413041,Travel Agents,18,56,46,33
252021,"Elementary School Teachers, Except Special Education",39,60,71,32
373011,Landscaping and Groundskeeping Workers,21,54,48,32
439041,Insurance Claims and Policy Processing Clerks,37,43,39,32
111011,Chief Executives,15,31,53,31
419011,Demonstrators and Product Promoters,13,28,47,31
513011,Bakers,48,56,41,31
516011,Laundry and Dry-Cleaning Workers,24,33,30,31
519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",14,33,68,31
413021,Insurance Sales Agents,21,29,70,30
436011,Executive Secretaries and Executive Administrative Assistants,25,64,51,30
194099,"Life, Physical, and Social Science Technicians, All Other ",11,32,37,29
292071,Medical Records and Health Information Technicians ,7,21,29,28
339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",21,34,42,28
359099,"Food Preparation and Serving Related Workers, All Other",62,53,52,28
471011,First-Line Supervisors of Construction Trades and Extraction Workers,30,30,38,28
272012,Producers and Directors,17,28,47,27
291122,Occupational Therapists,7,24,43,27
292021,Dental Hygienists,361,363,172,27
472211,Sheet Metal Workers,6,16,35,27
474099,"Construction and Related Workers, All Other",11,24,54,27
172199,"Engineers, All Other",9,15,19,26
271019,"Artists and Related Workers, All Other",6,30,39,26
371011,First-Line Supervisors of Housekeeping and Janitorial Workers,34,40,40,26
211093,Social and Human Service Assistants,13,46,40,25
291041,Optometrists,7,30,44,25
414011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",9,25,24,25
131161,Market Research Analysts and Marketing Specialists,15,24,34,24
211021,"Child, Family, and School Social Workers",12,70,39,24
411012,First-Line Supervisors of Non-Retail Sales Workers,20,27,37,24
472073,Operating Engineers and Other Construction Equipment Operators,21,42,37,24
499098,"Helpers--Installation, Maintenance, and Repair Workers",15,36,32,24
119031,"Education Administrators, Preschool and Childcare Center/Program",20,33,45,23
435061,"Production, Planning, and Expediting Clerks",18,39,42,23
113071,"Transportation, Storage, and Distribution Managers",21,29,32,22
271025,Interior Designers,12,19,18,22
319099,"Healthcare Support Workers, All Other",9,25,26,22
413011,Advertising Sales Agents,15,14,38,22
431011,First-Line Supervisors of Office and Administrative Support Workers,19,32,39,22
272022,Coaches and Scouts,28,42,56,21
393091,Amusement and Recreation Attendants,28,47,28,21
113121,Human Resources Managers,13,21,32,19
119039,"Education Administrators, All Other",25,30,22,19
272042,Musicians and Singers,*,8,29,19
292034,Radiologic Technologists,5,14,18,19
292099,"Health Technologists and Technicians, All Other ",6,32,39,19
433021,Billing and Posting Clerks,7,28,35,19
435021,Couriers and Messengers,*,24,39,19
519032,"Cutting and Slicing Machine Setters, Operators, and Tenders",11,14,26,19
413031,"Securities, Commodities, and Financial Services Sales Agents",15,23,27,18
433071,Tellers,14,20,22,18
434161,"Human Resources Assistants, Except Payroll and Timekeeping",8,16,8,18
439021,Data Entry Keyers,16,30,44,18
513022,"Meat, Poultry, and Fish Cutters and Trimmers",12,15,14,18
536021,Parking Lot Attendants,12,26,30,18
131121,"Meeting, Convention, and Event Planners",60,52,39,17
132051,Financial Analysts ,6,8,11,17
151152,Computer Network Support Specialists,7,14,10,17
292057,Ophthalmic Medical Technicians,11,41,52,17
399099,"Personal Care and Service Workers, All Other ",6,31,43,17
151121,Computer Systems Analysts,*,13,16,16
292052,Pharmacy Technicians,6,11,8,16
434181,Reservation and Transportation Ticket Agents and Travel Clerks,11,41,48,16
513021,Butchers and Meat Cutters,7,13,13,16
113031,Financial Managers,9,9,32,15
319097,Phlebotomists,6,9,23,15
412022,Parts Salespersons,6,14,16,15
514041,Machinists,10,36,27,15
516031,Sewing Machine Operators,6,8,16,15
519081,Dental Laboratory Technicians,5,32,78,15
119111,Medical and Health Services Managers,14,19,25,14
119141,"Property, Real Estate, and Community Association Managers",4,11,21,14
131031,"Claims Adjusters, Examiners, and Investigators",3,3,12,14
131111,Management Analysts,*,5,10,14
151132,"Software Developers, Applications ",13,15,29,14
272023,"Umpires, Referees, and Other Sports Officials",4,4,14,14
273091,Interpreters and Translators,*,14,27,14
292055,Surgical Technologists,*,12,37,14
352015,"Cooks, Short Order",34,46,27,14
391021,First-Line Supervisors of Personal Service Workers ,9,31,31,14
492094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",6,17,17,14
512022,Electrical and Electronic Equipment Assemblers,*,7,21,14
533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",*,7,6,14
131081,Logisticians,*,11,10,13
259099,"Education, Training, and Library Workers, All Other",5,6,12,13
419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5,16,16,13
452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",4,12,15,13
472041,Carpet Installers,4,6,37,13
513093,Food Cooking Machine Operators and Tenders,3,7,9,13
515112,Printing Press Operators,17,39,36,13
519121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",9,12,18,13
536099,"Transportation Workers, All Other ",5,17,34,13
537063,Machine Feeders and Offbearers,0,8,7,13
113051,Industrial Production Managers,9,18,13,12
119013,"Farmers, Ranchers, and Other Agricultural Managers",3,4,8,12
131022,"Wholesale and Retail Buyers, Except Farm Products",3,14,32,12
131151,Training and Development Specialists,6,23,22,12
151142,Network and Computer Systems Administrators,7,11,10,12
339099,"Protective Service Workers, All Other ",3,3,14,12
352019,"Cooks, All Other",27,18,22,12
393031,"Ushers, Lobby Attendants, and Ticket Takers",16,25,18,12
435032,"Dispatchers, Except Police, Fire, and Ambulance",9,22,23,12
439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",*,6,8,12
452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4,7,22,12
499099,"Installation, Maintenance, and Repair Workers, All Other",9,10,15,12
514122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",6,18,25,12
113021,Computer and Information Systems Managers,9,10,20,11
172141,Mechanical Engineers,7,7,10,11
291011,Chiropractors,*,*,13,11
291127,Speech-Language Pathologists,4,16,21,11
291171,Nurse Practitioners,*,17,16,11
292032,Diagnostic Medical Sonographers,0,3,9,11
319096,Veterinary Assistants and Laboratory Animal Caretakers,*,5,18,11
434111,"Interviewers, Except Eligibility and Loan",9,20,14,11
492022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,16,20,11
519192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",4,7,6,11
112011,Advertising and Promotions Managers,11,15,41,10
119121,Natural Sciences Managers,*,13,7,10
193022,Survey Researchers,3,8,6,10
211014,Mental Health Counselors,3,17,17,10
253021,Self-Enrichment Education Teachers,7,21,10,10
292053,Psychiatric Technicians,3,14,15,10
397011,Tour Guides and Escorts,5,4,9,10
399032,Recreation Workers,9,25,26,10
433011,Bill and Account Collectors,8,33,30,10
452099,"Agricultural Workers, All Other",4,7,13,10
493093,Tire Repairers and Changers,5,3,16,10
499041,Industrial Machinery Mechanics,4,14,3,10
517011,Cabinetmakers and Bench Carpenters,8,10,19,10
519123,"Painting, Coating, and Decorating Workers",7,12,19,10
536031,Automotive and Watercraft Service Attendants,5,12,16,10
119081,Lodging Managers,25,31,20,9
119151,Social and Community Service Managers,3,7,12,9
132041,Credit Analysts,0,*,*,9
151134,Web Developers ,0,7,11,9
252031,"Secondary School Teachers, Except Special and Career/Technical Education",18,38,25,9
274031,"Camera Operators, Television, Video, and Motion Picture",5,4,7,9
292041,Emergency Medical Technicians and Paramedics ,*,4,5,9
299091,Athletic Trainers,*,11,11,9
472021,Brickmasons and Blockmasons,3,6,3,9
113131,Training and Development Managers,13,15,18,8
252022,"Middle School Teachers, Except Special and Career/Technical Education",3,12,8,8
272031,Dancers,*,18,14,8
274011,Audio and Video Equipment Technicians,27,20,30,8
291029,"Dentists, All Other Specialists",*,10,15,8
312012,Occupational Therapy Aides,5,5,13,8
433051,Payroll and Timekeeping Clerks,*,11,19,8
434121,"Library Assistants, Clerical",3,10,35,8
435011,Cargo and Freight Agents,5,5,9,8
472051,Cement Masons and Concrete Finishers,17,15,16,8
492011,"Computer, Automated Teller, and Office Machine Repairers",*,10,5,8
499043,"Maintenance Workers, Machinery",6,3,11,8
499044,Millwrights,3,9,10,8
514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3,15,5,8
131051,Cost Estimators,8,10,9,7
151131,Computer Programmers,4,7,17,7
211012,"Educational, Guidance, School, and Vocational Counselors",6,9,14,7
211023,Mental Health and Substance Abuse Social Workers,3,8,11,7
291031,Dietitians and Nutritionists,*,3,4,7
292012,Medical and Clinical Laboratory Technicians,3,14,17,7
292092,Hearing Aid Specialists,0,4,5,7
312011,Occupational Therapy Assistants,*,7,13,7
312022,Physical Therapist Aides,3,15,19,7
319094,Medical Transcriptionists,*,3,24,7
373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",5,5,4,7
393012,Gaming and Sports Book Writers and Runners,29,34,18,7
393099,"Entertainment Attendants and Related Workers, All Other",7,14,12,7
434031,"Court, Municipal, and License Clerks",0,*,0,7
435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",9,11,13,7
472181,Roofers,12,17,11,7
472221,Structural Iron and Steel Workers,4,11,16,7
491011,"First-Line Supervisors of Mechanics, Installers, and Repairers",16,22,18,7
492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",*,4,4,7
492097,Electronic Home Entertainment Equipment Installers and Repairers,*,4,9,7
492098,Security and Fire Alarm Systems Installers,*,*,*,7
514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0,3,*,7
516062,"Textile Cutting Machine Setters, Operators, and Tenders",*,6,13,7
519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",*,5,6,7
531021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",11,16,16,7
119041,Architectural and Engineering Managers,*,6,*,6
131075,Labor Relations Specialists,3,8,5,6
132082,Tax Preparers,*,9,11,6
151141,Database Administrators ,*,11,7,6
211094,Community Health Workers,*,8,7,6
211099,"Community and Social Service Specialists, All Other",3,16,16,6
231011,Lawyers,*,3,13,6
232093,"Title Examiners, Abstractors, and Searchers",3,6,3,6
232099,"Legal Support Workers, All Other",*,4,0,6
251081,"Education Teachers, Postsecondary",9,7,10,6
251121,"Art, Drama, and Music Teachers, Postsecondary",*,8,5,6
271011,Art Directors,4,7,9,6
271012,Craft Artists,*,9,6,6
271023,Floral Designers,9,21,25,6
273022,Reporters and Correspondents,*,*,6,6
273041,Editors,0,4,7,6
291069,"Physicians and Surgeons, All Other ",6,8,8,6
333012,Correctional Officers and Jailers,*,9,5,6
372019,"Building Cleaning Workers, All Other",0,5,11,6
419031,Sales Engineers,3,*,5,6
434151,Order Clerks,14,16,17,6
452011,Agricultural Inspectors,0,*,5,6
472011,Boilermakers,0,*,0,6
472042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",*,7,14,6
473012,Helpers--Carpenters,*,3,6,6
499031,Home Appliance Repairers,*,5,8,6
512031,Engine and Other Machine Assemblers,0,11,8,6
515113,Print Binding and Finishing Workers,*,9,16,6
516021,"Pressers, Textile, Garment, and Related Materials",3,6,7,6
516052,"Tailors, Dressmakers, and Custom Sewers",3,12,27,6
517021,Furniture Finishers,0,*,3,6
519071,Jewelers and Precious Stone and Metal Workers,4,13,18,6
531011,Aircraft Cargo Handling Supervisors,0,*,7,6
537021,Crane and Tower Operators,4,4,3,6
537081,Refuse and Recyclable Material Collectors,*,*,5,6
537121,"Tank Car, Truck, and Ship Loaders",*,3,*,6
132099,"Financial Specialists, All Other ",3,10,6,5
151133,"Software Developers, Systems Software ",*,3,*,5
173023,Electrical and Electronics Engineering Technicians,4,3,14,5
173024,Electro-Mechanical Technicians,5,16,9,5
173027,Mechanical Engineering Technicians,*,3,3,5
193031,"Clinical, Counseling, and School Psychologists ",*,10,*,5
194091,"Environmental Science and Protection Technicians, Including Health",0,*,0,5
211019,"Counselors, All Other",*,4,7,5
211029,"Social Workers, All Other",3,18,13,5
212011,Clergy,0,*,7,5
232011,Paralegals and Legal Assistants,4,12,20,5
251193,"Recreation and Fitness Studies Teachers, Postsecondary",4,6,8,5
253011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,4,8,14,5
271029,"Designers, All Other",0,7,10,5
272032,Choreographers,*,8,6,5
272099,"Entertainers and Performers, Sports and Related Workers, All Other ",7,11,20,5
274014,Sound Engineering Technicians,3,10,8,5
274032,Film and Video Editors,*,5,7,5
291051,Pharmacists,*,7,4,5
291063,"Internists, General",*,*,5,5
291181,Audiologists,0,*,3,5
299011,Occupational Health and Safety Specialists,3,5,8,5
333021,Detectives and Criminal Investigators,4,3,*,5
434131,Loan Interviewers and Clerks,*,*,9,5
435051,Postal Service Clerks,0,*,3,5
435052,Postal Service Mail Carriers,4,6,5,5
435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",*,*,*,5
472044,Tile and Marble Setters,*,5,9,5
473015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",*,9,12,5
493022,Automotive Glass Installers and Repairers,*,5,13,5
493031,Bus and Truck Mechanics and Diesel Engine Specialists,12,7,9,5
499052,Telecommunications Line Installers and Repairers,5,12,10,5
499091,"Coin, Vending, and Amusement Machine Servicers and Repairers",*,5,13,5
513099,"Food Processing Workers, All Other",5,*,5,5
514193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",*,3,4,5
517099,"Woodworkers, All Other",0,*,3,5
519023,"Mixing and Blending Machine Setters, Operators, and Tenders",0,0,*,5
519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",*,5,6,5
533021,"Bus Drivers, Transit and Intercity",36,36,25,5
536051,Transportation Inspectors,*,7,7,5
537011,Conveyor Operators and Tenders,*,6,7,5
537199,"Material Moving Workers, All Other",*,12,10,5
113061,Purchasing Managers,5,7,6,4
131011,"Agents and Business Managers of Artists, Performers, and Athletes",3,6,11,4
131131,Fundraisers,5,*,10,4
132052,Personal Financial Advisors,3,4,10,4
151143,Computer Network Architects,*,6,7,4
172071,Electrical Engineers,*,3,3,4
194011,Agricultural and Food Science Technicians ,*,6,7,4
211015,Rehabilitation Counselors,*,7,*,4
211022,Healthcare Social Workers,*,6,4,4
212021,"Directors, Religious Activities and Education",*,*,9,4
232091,Court Reporters,0,*,5,4
252052,"Special Education Teachers, Kindergarten and Elementary School ",9,15,10,4
254021,Librarians,4,*,7,4
273011,Radio and Television Announcers,4,6,7,4
273031,Public Relations Specialists,5,8,11,4
291071,Physician Assistants,*,8,8,4
292031,Cardiovascular Technologists and Technicians,0,*,5,4
292091,Orthotists and Prosthetists,0,*,*,4
373019,"Grounds Maintenance Workers, All Other",*,4,4,4
419012,Models,*,*,*,4
432021,Telephone Operators,3,4,4,4
434011,Brokerage Clerks,0,0,*,4
436012,Legal Secretaries,4,6,8,4
452091,Agricultural Equipment Operators,8,8,9,4
472081,Drywall and Ceiling Tile Installers,*,3,10,4
493011,Aircraft Mechanics and Service Technicians,3,6,7,4
493042,"Mobile Heavy Equipment Mechanics, Except Engines",*,0,3,4
512041,Structural Metal Fabricators and Fitters,3,10,18,4
513092,Food Batchmakers,4,5,6,4
514011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",*,17,9,4
514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",*,*,4,4
514199,"Metal Workers and Plastic Workers, All Other",4,3,4,4
516041,Shoe and Leather Workers and Repairers,0,0,*,4
519083,Ophthalmic Laboratory Technicians,*,20,14,4
519122,"Painters, Transportation Equipment",0,4,8,4
519151,Photographic Process Workers and Processing Machine Operators,0,7,5,4
532031,Flight Attendants,0,*,3,4
536061,"Transportation Attendants, Except Flight Attendants",13,14,8,4
537033,"Loading Machine Operators, Underground Mining",0,*,*,4
112031,Public Relations and Fundraising Managers ,0,7,6,3
119032,"Education Administrators, Elementary and Secondary School",*,6,5,3
119033,"Education Administrators, Postsecondary",0,4,7,3
131021,"Buyers and Purchasing Agents, Farm Products",3,4,6,3
131074,Farm Labor Contractors,0,0,3,3
152041,Statisticians,*,3,5,3
171022,Surveyors,*,3,*,3
172051,Civil Engineers,*,*,*,3
173011,Architectural and Civil Drafters,*,*,5,3
173022,Civil Engineering Technicians,0,*,4,3
192041,"Environmental Scientists and Specialists, Including Health",0,*,3,3
194061,Social Science Research Assistants,0,*,3,3
211011,Substance Abuse and Behavioral Disorder Counselors,*,6,4,3
251071,"Health Specialties Teachers, Postsecondary",3,3,5,3
251191,Graduate Teaching Assistants,3,5,4,3
251194,"Vocational Education Teachers, Postsecondary",4,10,11,3
252032,"Career/Technical Education Teachers, Secondary School",*,4,7,3
259031,Instructional Coordinators,4,8,12,3
271013,"Fine Artists, Including Painters, Sculptors, and Illustrators",4,6,6,3
272041,Music Directors and Composers,0,*,4,3
291126,Respiratory Therapists,*,*,9,3
291129,"Therapists, All Other",0,20,8,3
292011,Medical and Clinical Laboratory Technologists,0,5,11,3
292035,Magnetic Resonance Imaging Technologists,0,0,7,3
292056,Veterinary Technologists and Technicians,*,11,11,3
299099,"Healthcare Practitioners and Technical Workers, All Other ",*,3,5,3
319093,Medical Equipment Preparers,*,5,8,3
339011,Animal Control Workers,0,*,*,3
373013,Tree Trimmers and Pruners,*,5,7,3
393011,Gaming Dealers,*,5,6,3
395091,"Makeup Artists, Theatrical and Performance",*,3,8,3
399041,Residential Advisors,0,6,5,3
432011,"Switchboard Operators, Including Answering Service",*,0,*,3
434021,Correspondence Clerks,*,*,4,3
434071,File Clerks,*,4,6,3
434141,New Accounts Clerks,3,4,4,3
434199,"Information and Record Clerks, All Other",0,*,*,3
473011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0,*,*,3
473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",*,*,5,3
474011,Construction and Building Inspectors,0,4,5,3
474041,Hazardous Materials Removal Workers,3,*,8,3
474051,Highway Maintenance Workers,4,*,5,3
492092,"Electric Motor, Power Tool, and Related Repairers",0,3,*,3
493091,Bicycle Repairers,*,6,*,3
514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",*,*,*,3
514032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,0,*,3
514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",4,5,8,3
514071,Foundry Mold and Coremakers,*,*,3,3
514111,Tool and Die Makers,*,17,7,3
516051,"Sewers, Hand",0,0,5,3
518099,"Plant and System Operators, All Other",0,3,*,3
519195,"Molders, Shapers, and Casters, Except Metal and Plastic",*,3,8,3
532012,Commercial Pilots,*,*,5,3
534031,Railroad Conductors and Yardmasters,*,6,4,3
113111,Compensation and Benefits Managers,0,*,4,0
119131,Postmasters and Mail Superintendents,0,*,0,0
132081,"Tax Examiners and Collectors, and Revenue Agents",0,*,*,0
151111,Computer and Information Research Scientists,0,*,3,0
171012,Landscape Architects,*,5,*,0
172031,Biomedical Engineers,0,*,0,0
172072,"Electronics Engineers, Except Computer",*,0,0,0
172121,Marine Engineers and Naval Architects,0,*,0,0
172131,Materials Engineers,0,*,0,0
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",0,*,0,0
172161,Nuclear Engineers,0,0,*,0
173012,Electrical and Electronics Drafters,*,*,*,0
173021,Aerospace Engineering and Operations Technicians,0,0,3,0
173026,Industrial Engineering Technicians,0,*,*,0
191011,Animal Scientists,0,*,0,0
191012,Food Scientists and Technologists,0,0,*,0
191029,"Biological Scientists, All Other",*,0,3,0
191032,Foresters,0,*,0,0
191042,"Medical Scientists, Except Epidemiologists",0,0,*,0
192011,Astronomers,0,*,0,0
192042,"Geoscientists, Except Hydrologists and Geographers",0,*,0,0
192043,Hydrologists,0,0,*,0
193039,"Psychologists, All Other",0,6,3,0
193094,Political Scientists,0,*,0,0
194051,Nuclear Technicians,0,*,*,0
194092,Forensic Science Technicians,0,0,*,0
194093,Forest and Conservation Technicians,0,0,*,0
211013,Marriage and Family Therapists,0,*,0,0
251021,"Computer Science Teachers, Postsecondary",0,0,*,0
251022,"Mathematical Science Teachers, Postsecondary",0,0,*,0
251053,"Environmental Science Teachers, Postsecondary",*,0,0,0
251054,"Physics Teachers, Postsecondary",0,*,0,0
251066,"Psychology Teachers, Postsecondary",0,*,0,0
251113,"Social Work Teachers, Postsecondary",0,0,*,0
251122,"Communications Teachers, Postsecondary",0,0,*,0
251124,"Foreign Language and Literature Teachers, Postsecondary",*,0,*,0
251192,"Home Economics Teachers, Postsecondary",0,*,0,0
252051,"Special Education Teachers, Preschool",0,*,4,0
252053,"Special Education Teachers, Middle School",*,3,*,0
252059,"Special Education Teachers, All Other",3,3,*,0
259021,Farm and Home Management Advisors,0,0,*,0
272011,Actors,*,4,*,0
273012,Public Address System and Other Announcers,0,4,3,0
273043,Writers and Authors,3,6,13,0
274013,Radio Operators,*,*,*,0
274099,"Media and Communication Equipment Workers, All Other ",0,0,*,0
291022,Oral and Maxillofacial Surgeons,0,*,0,0
291061,Anesthesiologists,*,0,*,0
291062,Family and General Practitioners,0,*,*,0
291065,"Pediatricians, General",0,*,0,0
291124,Radiation Therapists,0,0,*,0
291125,Recreational Therapists,*,3,4,0
291128,Exercise Physiologists,0,*,3,0
291151,Nurse Anesthetists,0,*,5,0
311013,Psychiatric Aides,*,*,*,0
331012,First-Line Supervisors of Police and Detectives,0,0,*,0
331099,"First-Line Supervisors of Protective Service Workers, All Other ",0,*,*,0
332011,Firefighters,*,0,0,0
332021,Fire Inspectors and Investigators,*,*,0,0
333011,Bailiffs,*,0,0,0
339093,Transportation Security Screeners,0,*,*,0
391012,Slot Supervisors,0,*,*,0
393019,"Gaming Service Workers, All Other",*,3,*,0
393021,Motion Picture Projectionists,5,*,*,0
394011,Embalmers,0,*,0,0
397012,Travel Guides,0,0,*,0
435031,"Police, Fire, and Ambulance Dispatchers",*,*,3,0
435041,"Meter Readers, Utilities",0,*,0,0
439022,Word Processors and Typists,*,*,*,0
439111,Statistical Assistants,0,*,4,0
451011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0,6,5,0
453011,Fishers and Related Fishing Workers,0,0,*,0
454011,Forest and Conservation Workers,0,*,0,0
454021,Fallers,0,0,3,0
454022,Logging Equipment Operators,0,0,*,0
472082,Tapers,0,*,0,0
472142,Paperhangers,0,0,*,0
472161,Plasterers and Stucco Masons,*,0,0,0
472171,Reinforcing Iron and Rebar Workers,4,*,5,0
473016,Helpers--Roofers,0,3,*,0
